component,x,y,z,angle_deg
base_dome,0.0,0.0,0.0,0.0
PP1,-114.748366,225.098562,66.25,150.0
PP2,5e-06,225.092754,132.499996,90.0
PP4,114.748361,225.092754,-66.250003,-30.0
PP5,0.0,225.098562,-132.5,-90.0
PP6,-114.748366,225.098562,-66.25,-150.0
P1,-162.316912,105.5,143.605873,138.5
P2,-125.852447,105.5,176.438624,125.5
P3,-82.936803,105.5,200.227154,112.5
P4,-11.059162,105.5,216.441959,92.925
P7,141.996677,112.5,160.498047,48.5
P10,-84.750566,105.5,-199.466208,-113.02
P11,-175.16675,105.5,-127.616755,-143.925
P13,-217.921829,78.0,-52.720839,-166.4
